ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
41707,Bert Oldfield Public School,Seven Hills,2147,Primary,Major Cities,-33.7775,150.925,83,Government,School Single Entity,Department of Education NSW,K-6,1020,29,24,29,18,14,17.4,2,2.6,288,139,149,288,1,74
41014,Drummoyne Public School,Drummoyne,2047,Primary,Major Cities,-33.8561,151.153,94,Government,School Single Entity,Department of Education NSW,K-6,1134,2,11,28,59,34,34.7,4,4.1,620,326,294,620,0,42
43204,Bethany Catholic Primary School,Glenmore Park,2745,Primary,Major Cities,-33.787,150.671,84,Catholic,School Single Entity,Catholic Schools NSW,K-6,1050,13,31,32,23,35,28.4,18,10.3,595,320,275,595,2,10
41015,Earlwood Public School,Earlwood,2206,Primary,Major Cities,-33.929,151.122,99,Government,School Single Entity,Department of Education NSW,"U, K-6",1096,7,18,34,41,40,47.1,6,5.3,656,311,345,656,1,82
41016,Engadine Public School,Engadine,2233,Primary,Major Cities,-34.0634,151.012,88,Government,School Single Entity,Department of Education NSW,"U, K-6",1052,16,28,32,24,20,25.4,10,6.8,379,171,208,379,2,17
41438,Beverly Hills North Public School,Beverly Hills,2209,Primary,Major Cities,-33.9406,151.075,84,Government,School Single Entity,Department of Education NSW,K-6,1038,19,29,31,21,28,31.9,5,4,534,248,286,534,1,85
41017,Five Dock Public School,Five Dock,2046,Primary,Major Cities,-33.8663,151.127,92,Government,School Single Entity,Department of Education NSW,"U, P-6",1079,12,19,32,37,26,26.2,9,7.1,392,196,196,392,3,44
41018,Forest Lodge Public School,Forest Lodge,2037,Primary,Major Cities,-33.8822,151.182,96,Government,School Single Entity,Department of Education NSW,K-6,1152,3,5,22,70,17,20.1,4,2.8,340,160,180,340,1,40
42149,Bexhill Public School,Bexhill,2480,Primary,Inner Regional,-28.766,153.346,78,Government,School Single Entity,Department of Education NSW,K-6,1020,21,32,28,18,4,6,2,1.7,107,45,62,107,8,10
41019,Fort Street Public School,Sydney,2000,Primary,Major Cities,-33.8604,151.205,95,Government,School Single Entity,Department of Education NSW,K-6,1118,4,11,33,53,11,13.2,4,2.4,215,97,118,215,0,77
41029,Bexley North Public School,Bexley,2207,Primary,Major Cities,-33.9408,151.12,88,Government,School Single Entity,Department of Education NSW,K-6,1078,8,23,33,36,27,30.8,5,4.1,555,269,286,555,1,71
41020,Glenmore Road Public School,Paddington,2021,Primary,Major Cities,-33.8814,151.23,97,Government,School Single Entity,Department of Education NSW,K-6,1177,1,3,17,79,16,19.3,4,2.8,364,192,172,364,1,21
41131,Bexley Public School,Bexley,2207,Primary,Major Cities,-33.9477,151.129,81,Government,School Single Entity,Department of Education NSW,K-6,994,38,30,21,11,18,18.1,5,2.5,282,137,145,282,0,86
41021,Gymea Bay Public School,Gymea Bay,2227,Primary,Major Cities,-34.0469,151.083,91,Government,School Single Entity,Department of Education NSW,K-6,1087,6,20,37,37,42,47.2,7,4.9,806,388,418,806,2,12
41022,Haberfield Public School,Haberfield,2045,Primary,Major Cities,-33.8795,151.134,98,Government,School Single Entity,Department of Education NSW,K-6,1133,3,10,29,58,34,39.4,5,4.3,670,338,332,670,0,63
42028,Biddabah Public School,Warners Bay,2282,Primary,Major Cities,-32.9661,151.642,87,Government,School Single Entity,Department of Education NSW,K-6,1054,17,25,29,28,17,19.7,4,3,376,183,193,376,3,6
41023,Heathcote Public School,Heathcote,2233,Primary,Major Cities,-34.0867,151.007,86,Government,School Single Entity,Department of Education NSW,K-6,1052,15,28,33,24,17,18.4,4,2.8,338,176,162,338,2,12
41752,Bidwill Public School,Bidwill,2770,Primary,Major Cities,-33.7335,150.826,67,Government,School Single Entity,Department of Education NSW,"U, P-6",827,84,12,3,0,26,29.7,14,11.6,363,177,186,363,28,43
41024,Hurstville Public School,Hurstville,2220,Primary,Major Cities,-33.9647,151.111,99,Government,School Single Entity,Department of Education NSW,"U, K-6",1099,9,15,31,45,70,75.2,11,10.9,1234,592,642,1234,0,98
42731,Bigga Public School,Bigga,2583,Primary,Outer Regional,-34.0847,149.145,,Government,School Single Entity,Department of Education NSW,K-6,1009,28,43,18,13,1,1.3,1,0.9,8,2,6,8,0,25
