Location,School Name,Type,Latitude,Longitude,Better Education Score
Western Australia,IRENE MCCORMACK CATHOLIC COLLEGE,Secondary,-31.65406275,115.709449,86
Western Australia,ALKIMOS BAPTIST COLLEGE,Primary,-31.66032819,115.7101785,86
Western Australia,ALKIMOS BAPTIST COLLEGE,Secondary,-31.66032819,115.7101785,85
Western Australia,QUINNS BAPTIST COLLEGE,Primary,-31.67618587,115.7101964,88
Western Australia,QUINNS BAPTIST COLLEGE,Secondary,-31.67618587,115.7101964,91
Western Australia,EAST BUTLER PRIMARY SCHOOL,Primary,-31.6437585,115.7117596,77
Western Australia,CLIFTON PARK PRIMARY SCHOOL,Primary,-33.30905652,115.7119826,78
Western Australia,MERRIWestern Australia PRIMARY SCHOOL,Primary,-31.66869847,115.7127243,69
Western Australia,SAFETY BAY PRIMARY SCHOOL,Primary,-32.29899323,115.7146933,77
Western Australia,CLARKSON PRIMARY SCHOOL,Primary,-31.67754494,115.7183074,77
Western Australia,ST ANDREW'S CATHOLIC PRIMARY SCHOOL,Primary,-31.68720765,115.7218604,83
Western Australia,ROCKINGHAM BEACH PRIMARY SCHOOL,Primary,-32.28213507,115.7219158,74
Western Australia,LESCHENAULT CATHOLIC PRIMARY SCHOOL,Primary,-33.28334496,115.7224856,80
Western Australia,EATON COMMUNITY COLLEGE,Secondary,-33.3176055,115.7228908,76
Western Australia,MANDURAH PRIMARY SCHOOL,Primary,-32.52864487,115.7255254,74
Western Australia,GLEN HUON PRIMARY SCHOOL,Primary,-33.31523808,115.7261548,72
Western Australia,CLARKSON COMMUNITY HIGH SCHOOL,Secondary,-31.67744562,115.7267272,74
Western Australia,PARKFIELD PRIMARY SCHOOL,Primary,-33.265458,115.727042,81
Western Australia,AUSTRALIND PRIMARY SCHOOL,Primary,-33.28059897,115.7271368,76
Western Australia,SOMERLY PRIMARY SCHOOL,Primary,-31.68546051,115.7278576,73
Western Australia,AUSTRALIND SENIOR HIGH SCHOOL,Secondary,-33.27665965,115.7284365,82
Western Australia,BOYANUP PRIMARY SCHOOL,Primary,-33.48596223,115.7308445,69
Western Australia,STAR OF THE SEA PRIMARY SCHOOL,Primary,-32.28529599,115.7317146,86
Western Australia,KINROSS COLLEGE,Secondary,-31.71789873,115.7325952,90
Western Australia,DUDLEY PARK PRIMARY SCHOOL,Primary,-32.54121027,115.735351,71
Western Australia,BEAUMARIS PRIMARY SCHOOL,Primary,-31.74874488,115.7355529,91
Western Australia,TREENDALE PRIMARY SCHOOL,Primary,-33.28194663,115.735559,77
Western Australia,MULLALOO BEACH PRIMARY SCHOOL,Primary,-31.77654953,115.7366952,88
Western Australia,ROCKINGHAM MONTESSORI SCHOOL,Primary,-32.27658489,115.736737,86
Western Australia,ROCKINGHAM MONTESSORI SCHOOL,Secondary,-32.27658489,115.736737,81
Western Australia,KINROSS PRIMARY SCHOOL,Primary,-31.71880258,115.7368105,87
Western Australia,ST SIMON PETER CATHOLIC PRIMARY SCHOOL,Primary,-31.7521962,115.7376881,89
Western Australia,BUNGAREE PRIMARY SCHOOL,Primary,-32.29110842,115.7378237,70
Western Australia,MANDURAH CATHOLIC COLLEGE,Primary,-32.54895945,115.738286,90
Western Australia,MANDURAH CATHOLIC COLLEGE,Secondary,-32.54895945,115.738286,91
Western Australia,FRANCIS JORDAN CATHOLIC SCHOOL,Primary,-31.73113849,115.7384265,90
Western Australia,OCEAN REEF SENIOR HIGH SCHOOL,Secondary,-31.75879833,115.7389749,89
Western Australia,NORTH MANDURAH PRIMARY SCHOOL,Primary,-32.51527461,115.7390197,75
Western Australia,OCEAN REEF PRIMARY SCHOOL,Primary,-31.76531973,115.7393848,81
Western Australia,PRENDIVILLE CATHOLIC COLLEGE,Secondary,-31.75468355,115.7396844,93
