Location,School Name,Type,Latitude,Longitude,Score
Western Australia,GRACE CHRISTIAN SCHOOL,Primary,-33.33832794,115.6810759,1058
Western Australia,GRACE CHRISTIAN SCHOOL,Secondary,-33.33832794,115.6810759,1058
Western Australia,DJIDI DJIDI ABORIGINAL SCHOOL,Primary,-33.3480231,115.6823564,661
Western Australia,ST JAMES' ANGLICAN SCHOOL,Primary,-31.618541,115.68637,1068
Western Australia,ST JAMES' ANGLICAN SCHOOL,Secondary,-31.618541,115.68637,1068
Western Australia,PICTON PRIMARY SCHOOL,Primary,-33.34079961,115.6883296,943
Western Australia,JOHN BUTLER PRIMARY COLLEGE,Primary,-31.6321576,115.6940333,998
Western Australia,HALLS HEAD COLLEGE,Secondary,-32.55444963,115.6942404,930
Western Australia,NORTHSHORE CHRISTIAN GRAMMAR SCHOOL,Primary,-31.601801,115.694523,1048
Western Australia,HALLS HEAD PRIMARY SCHOOL,Primary,-32.55019839,115.6949747,982
Western Australia,QUINNS BEACH PRIMARY SCHOOL,Primary,-31.65764478,115.6950346,974
Western Australia,DANDARAGAN PRIMARY SCHOOL,Primary,-30.67304886,115.7019541,992
Western Australia,ALKIMOS PRIMARY SCHOOL,Primary,-31.62699105,115.7026573,1012
Western Australia,BUTLER PRIMARY SCHOOL,Primary,-31.6461099,115.7027364,999
Western Australia,EATON PRIMARY SCHOOL,Primary,-33.32181891,115.7028431,970
Western Australia,QUINNS ROCKS PRIMARY SCHOOL,Primary,-31.67298256,115.7028505,1021
Western Australia,GLENCOE PRIMARY SCHOOL,Primary,-32.54229018,115.7041404,974
Western Australia,MINDARIE SENIOR COLLEGE,Secondary,-31.6769792,115.7060496,1034
Western Australia,PETER MOYES ANGLICAN COMMUNITY SCHOOL,Primary,-31.67541576,115.7075982,1073
Western Australia,PETER MOYES ANGLICAN COMMUNITY SCHOOL,Secondary,-31.67541576,115.7075982,1073
Western Australia,BUTLER COLLEGE,Secondary,-31.65166367,115.7087008,993
Western Australia,MINDARIE PRIMARY SCHOOL,Primary,-31.687131,115.7093812,1070
